CQS Symbol,ETF,Financial Status,Listing Exchange,Market Category,NASDAQ Symbol,Nasdaq Traded,NextShares,Round Lot Size,Security Name,Symbol,Test Issue
"",N,N,Q,Q,ADSK,Y,N,100,"Autodesk, Inc. - Common Stock",ADSK,N
ADT,N,"",N, ,ADT,Y,N,100,ADT Inc. Common Stock,ADT,N
"",N,N,Q,S,ADTH,Y,N,100,"AdTheorent Holding Company, Inc. - Common Stock",ADTH,N
"",N,N,Q,S,ADTHW,Y,N,100,"AdTheorent Holding Company, Inc. - Warrants",ADTHW,N
"",N,N,Q,Q,ADTN,Y,N,100,"ADTRAN Holdings, Inc. - Common Stock",ADTN,N
"",N,N,Q,S,ADTX,Y,N,100,"Aditxt, Inc. - Common Stock",ADTX,N
"",N,N,Q,Q,ADUS,Y,N,100,Addus HomeCare Corporation - Common Stock,ADUS,N
"",N,N,Q,Q,ADV,Y,N,100,Advantage Solutions Inc.  - Class A Common Stock,ADV,N
"",N,D,Q,G,ADVM,Y,N,100,"Adverum Biotechnologies, Inc. - Common Stock",ADVM,N
"",N,N,Q,Q,ADVWW,Y,N,100,Advantage Solutions Inc.  - Warrant,ADVWW,N
ADX,N,"",N, ,ADX,Y,N,100,Adams Diversified Equity Fund Inc.,ADX,N
"",N,D,Q,S,ADXN,Y,N,100,Addex Therapeutics Ltd - American Depositary Shares,ADXN,N
AE,N,"",A, ,AE,Y,N,100,"Adams Resources & Energy, Inc. Common Stock",AE,N
"",N,N,Q,S,AEAC,Y,N,100,Authentic Equity Acquisition Corp. - Class A ordinary share,AEAC,N
"",N,N,Q,S,AEACU,Y,N,100,Authentic Equity Acquisition Corp. - Unit,AEACU,N
"",N,N,Q,S,AEACW,Y,N,100,Authentic Equity Acquisition Corp. - Warrant,AEACW,N
"",N,N,Q,G,AEAE,Y,N,100,AltEnergy Acquisition Corp. - Class A Common Stock,AEAE,N
"",N,N,Q,G,AEAEU,Y,N,100,AltEnergy Acquisition Corp. - Unit,AEAEU,N
"",N,N,Q,G,AEAEW,Y,N,100,AltEnergy Acquisition Corp. - Warrant,AEAEW,N
AEE,N,"",N, ,AEE,Y,N,100,Ameren Corporation Common Stock,AEE,N
AEF,N,"",A, ,AEF,Y,N,100,"abrdn Emerging Markets Equity Income Fund, Inc. Common Stock",AEF,N
AEFC,N,"",N, ,AEFC,Y,N,100,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,AEFC,N
AEG,N,"",N, ,AEG,Y,N,100,AEGON N.V. Common Stock,AEG,N
"",N,N,Q,G,AEHA,Y,N,100,Aesther Healthcare Acquisition Corp - Class A Common Stock,AEHA,N
"",N,N,Q,G,AEHAU,Y,N,100,Aesther Healthcare Acquisition Corp - Units,AEHAU,N
